Date,Open,High,Low,Close,Adj Close,Volume
2022-05-24,1148.000000,1151.849976,1091.000000,1098.349976,1007.198547,3666196
2022-05-25,1091.050049,1094.900024,1045.000000,1060.150024,972.168884,4711542
2022-05-26,1070.000000,1089.500000,1055.949951,1078.599976,989.087708,2946857
2022-05-27,1095.000000,1126.199951,1092.000000,1123.250000,1030.032349,3367600
2022-05-30,1142.900024,1170.500000,1135.449951,1164.000000,1067.400513,2469771
2022-05-31,1152.000000,1192.000000,1148.650024,1180.250000,1082.301758,9674664
2022-06-01,1186.150024,1197.000000,1143.099976,1146.599976,1051.444458,2419021
2022-06-02,1140.000000,1155.400024,1131.699951,1146.000000,1050.894287,3206663
2022-06-03,1160.000000,1182.000000,1144.099976,1147.900024,1052.636597,3229236
2022-06-06,1146.000000,1149.000000,1111.099976,1144.199951,1049.243408,3938875
2022-06-07,1130.099976,1139.800049,1120.699951,1130.300049,1036.497192,1656444
2022-06-08,1134.900024,1139.300049,1119.900024,1124.199951,1030.903442,1303551
2022-06-09,1122.000000,1141.949951,1111.650024,1138.599976,1044.108276,1323539
2022-06-10,1119.000000,1123.900024,1100.250000,1109.849976,1017.744263,3119792
2022-06-13,1081.199951,1084.599976,1050.000000,1051.949951,964.649292,2012004
2022-06-14,1034.000000,1056.550049,1020.400024,1030.150024,944.658508,5775453
2022-06-15,1037.000000,1037.000000,1017.799988,1020.049988,935.396667,3238141
2022-06-16,1024.050049,1033.599976,971.000000,975.299988,894.360474,5600443
2022-06-17,971.099976,974.349976,943.700012,965.049988,884.961121,7043370
2022-06-20,965.000000,988.150024,948.049988,979.349976,898.074341,2985094
2022-06-21,991.400024,1004.650024,980.000000,1000.099976,917.102295,3433536
2022-06-22,996.950012,996.950012,968.000000,980.000000,898.670471,2719988
2022-06-23,981.099976,998.549988,971.250000,991.099976,908.849182,2915172
2022-06-24,1001.000000,1001.000000,974.000000,981.200012,899.770935,4056588
2022-06-27,996.000000,1024.099976,996.000000,1007.200012,923.613159,3796002
2022-06-28,1002.000000,1029.000000,984.049988,1020.700012,935.992859,2755698
2022-06-29,1008.000000,1027.400024,1002.549988,1021.099976,936.359558,3770663
2022-06-30,1016.000000,1026.000000,997.000000,1000.000000,917.010742,3264301
2022-07-01,997.000000,1014.000000,989.299988,1010.700012,926.822632,1842102
2022-07-04,1010.700012,1013.799988,995.000000,999.950012,916.964844,1814322
2022-07-05,1005.000000,1021.900024,999.000000,1003.200012,919.945068,3045188
2022-07-06,1008.000000,1014.900024,1001.599976,1009.900024,926.089050,2188175
2022-07-07,1020.950012,1026.900024,1016.000000,1020.750000,936.038635,1901699
2022-07-08,1031.000000,1034.699951,1014.549988,1026.500000,941.311462,2841036
2022-07-11,1015.000000,1017.349976,988.000000,1007.549988,923.934143,2892507
2022-07-12,1000.000000,1016.799988,994.500000,997.349976,914.580566,2013304
2022-07-13,1001.400024,1004.200012,987.049988,990.049988,907.886414,2067142
2022-07-14,998.000000,998.599976,968.799988,975.799988,894.819092,2212219
